Index coax_placement_x  coax_placement_y  substrate_permittivity
  325 +6.6666666667E-01 +7.0000000000E+00 +3.1000000000E+00     
  326 +6.6666666667E-01 +7.6666666667E+00 +3.1000000000E+00     
  327 +6.6666666667E-01 +8.3333333333E+00 +3.1000000000E+00     
  328 +6.6666666667E-01 +9.0000000000E+00 +3.1000000000E+00     
  329 +1.3333333333E+00 +5.0000000000E+00 +3.1000000000E+00     
  330 +1.3333333333E+00 +5.6666666667E+00 +3.1000000000E+00     
  331 +1.3333333333E+00 +6.3333333333E+00 +3.1000000000E+00     
  332 +1.3333333333E+00 +7.0000000000E+00 +3.1000000000E+00     
  333 +1.3333333333E+00 +7.6666666667E+00 +3.1000000000E+00     
  334 +1.3333333333E+00 +8.3333333333E+00 +3.1000000000E+00     
  335 +1.3333333333E+00 +9.0000000000E+00 +3.1000000000E+00     
  336 +2.0000000000E+00 +5.0000000000E+00 +3.1000000000E+00     
  337 +2.0000000000E+00 +5.6666666667E+00 +3.1000000000E+00     
  338 +2.0000000000E+00 +6.3333333333E+00 +3.1000000000E+00     
  339 +2.0000000000E+00 +7.0000000000E+00 +3.1000000000E+00     
  340 +2.0000000000E+00 +7.6666666667E+00 +3.1000000000E+00     
  341 +2.0000000000E+00 +8.3333333333E+00 +3.1000000000E+00     
  342 +2.0000000000E+00 +9.0000000000E+00 +3.1000000000E+00     
